1526-03,j:Hamden\1526-03 Manhattan West NE Tower
1526-05,"j:Hamden\1526-05 Manhattan West, SE Tower"
1808-02,j:Hamden\1808-02 Moynihan Station Phase II
1785-02,j:Hamden\1785-02 PMA-Core & Shell
1808-02D,j:Hamden\1808-02D Moynihan Column Feasibility
1788-01,j:Hamden\1788-01 DEC
01-01,j:St.Louis\01-01 TPA SkyCenter Risk Assessment
1767-02,j:Hamden\1767-02 Allen-Stevenson School K-9
1800-04,j:Hamden\1800-04 Stamford IB Magnet
1382-07,j:Hamden\1382-07 Microsoft DSM09-10
1751-04,j:Hamden\1751-04 Staten Island Courthouse - 6.06.03
2118-01,j:Hamden\2118-01 Hewitt School
13052201-02,j:Hamden\13052201-02 Elisabeth Morrow School
1785-01,j:Hamden\1785-01 PMA Rassa 22
1844-01,j:Hamden\1844-01 State of Being
1859-01,j:Hamden\1859-01 Jewish Theological Sem
1775-01,j:Hamden\1775-01 Citi Group-One Citi NY 388-390
1805-01,j:Hamden\1805-01 415 Madison Avenue
1840-01,j:Hamden\1840-01 Bruce Museum
2216-01,j:Hamden\2216-01 Discovery HQ
1963-01,j:Hamden\1963-01 Spence Athletic Center
001,j:Hamden\001 Project Folder Set Up
1808-02A,j:Hamden\1808-02A Moynihan Station Phase II Skylights
1961-01,j:Hamden\1961-01 AMNH SEIC Exp
1861-01,j:Hamden\1861-01 Trinity Church NYC
1526-07,j:Hamden\1526-07 Manhattan West NW Tower Hotel
1753-07,j:Hamden\1753-07 UAE Mission
1804-04,j:Hamden\1804-04 One WTC East Lobby Sec. Enh
1945-04,j:Hamden\1945-04 Citadel - On-Call Sec. Cons
1768-02,j:Hamden\1768-02 America Media
1967-02,j:Hamden\1967-02 George Keverian School
1751-05,j:Hamden\1751-05 Harrisburg Courthouse
645,j:Hamden\645 Fifth Ave
2131-01,j:Hamden\2131-01 Catskill Aquaduct Recon
1985-01,j:Hamden\1985-01 WTC WBVA
1526-10,j:Hamden\1526-10 1100 Ave of the Americas
